BMS,battery charging,battery mode,battery level,battery health,current,power,temperature,voltage,cycle capacity,cycles,delta voltage,problem,runtime,balancer,balance current,cell count,cell voltages,cycle charge,total charge,design capacity,pack count,temp sensors,temp values,problem code,chrg mosfet,dischrg mosfet,heater,pack voltages,pack currents,pack battery levels,pack battery health,pack cycles
E&J Technology (smart BMS),.,,✓,,✓,,.,,,✓,,.,.,✓,,,,✓,,✓,,,✓,✓,✓,✓,✓,,,,,
ECO-WORTHY (BW 02/0B),.,,✓,✓,✓,.,.,✓,.,,.,.,.,,,✓,✓,.,,✓,,✓,✓,✓,,,,,,,,
EG4 electronics (LL),.,,✓,✓,✓,.,✓,✓,.,✓,.,.,.,✓,,✓,✓,✓,,✓,,,✓,✓,,,,,,,,
Ective (LiPower BMS),.,,✓,,✓,.,,✓,.,,,.,✓,,,,,✓,,,,,,,,,,,,,,
Felicity Solar (LiFePo4 battery),.,,✓,,✓,.,.,✓,.,,.,.,.,,,.,✓,✓,,,,,✓,✓,,,,,,,,
Gobel Power (BLE BMS),.,,✓,✓,✓,.,.,✓,.,✓,.,.,.,,,✓,✓,✓,,✓,,✓,✓,✓,✓,✓,,,,,,
Humsienk (BMC),.,,✓,✓,✓,.,.,✓,.,✓,.,✓,.,✓,,.,✓,✓,,✓,,,✓,✓,✓,✓,,,,,,
Jiabaida (Eleksol BMS),.,,✓,,✓,.,,✓,.,✓,,.,.,✓,,,,✓,,✓,,✓,,✓,✓,✓,,,,,,
Jiabaida (smart BMS),.,,✓,,✓,.,.,✓,.,✓,.,.,.,✓,,.,✓,✓,,✓,,✓,✓,✓,✓,✓,,,,,,
Jikong (smart BMS),.,✓,✓,✓,✓,.,.,✓,.,✓,✓,.,.,✓,✓,✓,✓,✓,,✓,,✓,✓,✓,✓,✓,,,,,,
Lithionics (NeverDie smart BMS),.,,✓,,✓,.,.,✓,.,,.,.,.,,,.,✓,✓,✓,,,✓,✓,✓,,,,,,,,
Neey (Balancer),,,,,,,.,✓,,,✓,.,,✓,✓,.,✓,,,,,,✓,✓,,,,,,,,
Offgridtec (LiFePo4 Smart Pro),.,,✓,,✓,.,.,✓,.,✓,,.,✓,,,,,✓,,,,,✓,,,,,,,,,
PeiCheng Technology (PACEEX Smart BMS),.,,✓,✓,✓,.,.,✓,.,✓,.,.,.,,,✓,✓,✓,,✓,✓,,✓,,,,,,,,,
Pro BMS (Smart Shunt),.,,✓,,✓,✓,.,✓,.,,,.,.,,,,,✓,,,,,✓,✓,,,,,,,,
Redodo (Bluetooth battery),.,,✓,✓,✓,.,.,✓,.,✓,.,.,.,✓,,.,✓,✓,,✓,,✓,✓,✓,,,✓,,,,,
Renogy (BT battery pro),.,,.,,✓,.,,✓,.,✓,,.,.,,,,,✓,,✓,,,,,,,,,,,,
Renogy (Bluetooth battery),.,,.,,✓,.,.,✓,.,✓,.,.,.,,,✓,✓,✓,,✓,,✓,✓,✓,✓,✓,✓,,,,,
RoyPow (smart BMS),.,,✓,,✓,.,.,✓,.,✓,.,.,✓,,,.,✓,✓,,,,✓,✓,✓,✓,✓,,,,,,
Saihang Technology (intelligent BMS),.,,✓,✓,✓,.,.,✓,.,✓,.,.,.,,,✓,✓,✓,,✓,,✓,✓,✓,,,,,,,,
Seplos (smart BMS V2),.,,✓,✓,✓,.,.,✓,.,✓,.,.,.,✓,,✓,✓,✓,,,✓,✓,✓,✓,✓,✓,✓,,,,,
Seplos (smart BMS V3),.,,✓,✓,✓,.,✓,✓,.,✓,✓,.,.,✓,,✓,,✓,,,✓,,,✓,✓,✓,✓,✓,✓,✓,✓,✓
Super-B (Epsilon v2),.,,✓,✓,✓,.,,✓,,✓,,.,✓,,,,,,,,,,,,,,,,,,,
Super-B (Epsilon),.,,✓,✓,✓,.,,✓,,,,.,✓,✓,,,,,,,,,,✓,,,,,,,,
TDT (smart BMS),.,,✓,,✓,.,.,✓,.,✓,.,.,.,,,✓,✓,✓,,,,✓,✓,✓,✓,✓,,,,,,
TianPwr (smart BMS),.,,✓,✓,✓,.,.,✓,.,✓,.,.,.,✓,,✓,✓,✓,,✓,,✓,✓,✓,✓,✓,,,,,,
Topband (smart BMS),.,,✓,,✓,.,.,✓,.,✓,.,.,.,,,.,✓,✓,,,,,✓,✓,,,,,,,,
Vatrer (smart BMS),.,,✓,✓,✓,.,.,✓,.,✓,✓,✓,.,✓,,✓,✓,✓,,,,✓,✓,,✓,✓,,,,,,
Wattstunde (Nova Core),.,,✓,,✓,.,.,✓,.,✓,.,.,.,,,.,✓,✓,,✓,,,✓,✓,,,✓,,,,,
